"ID"	"EUPHEMISM"	"MEANING_IN_CHINESE"	"FIGURATIVE_TYPE"	"EXAMPLE"
"DD-0022"	"不讳"	"死亡"	"Metonymy"	"一旦不讳，谁可代之? (GF 2014)"
"DD-0023"	"不济事"	"病重无救，病危将死"	"Metonymy"	"清 · 燕北闲人《儿女英雄传》： “[鲍老] 向着刘住儿说道: ""你们老奶奶子不济事儿咧。 ""”"
"DD-0024"	"不可讳"	"死亡"	"Metonymy"	"《战国策：魏策一》：“ 公叔 （ 痤 ）病，即不可讳，将奈社稷何？” 《汉书：司马迁传》：“今少卿抱不测之罪，涉旬月，迫季冬，仆又薄从上上雍 ，恐卒然不可讳。”"
"DD-0025"	"不可言"	"死亡"	"Metonymy"	"《汉书：元后传》：“ 阳朔三年秋， 凤病，天子数自临问，亲执其手，涕泣曰：‘将军病，如有不可言， 平阿侯谭次将军矣。’”"
"DD-0026"	"不禄"	"死亡"	"Metonymy"	"《大宋宣和遺事。元集》：“未几一年，司马光不禄；章惇等入相，再行新法。”"
"DD-0027"	"不祥"	"死的讳称"	"Metonymy"	"《太平广记》卷四三七引《广异记·姚甲》： “郎君家本北人，今窜南荒，流离万里，忽有不祥，奴当扶持丧事北归。”"
"DD-0028"	"不行"	"接近于死亡"	"Metonymy"	"老人家快不行了。(GF 2014)"
"DD-0029"	"不幸"	"指灾祸，亦特指死"	"Metonymy"	"遭此不幸，令人心痛。(GF 2014)"
"DD-0030"	"不虞"	"死亡"	"Metonymy"	"清 · 蒲松齡 《聊斋志异。李八缸》：“月生虑一旦不虞，觑无人就床头秘讯之。”"
"DD-0031"	"不育"	"犹言夭折"	"Metonymy"	"清 · 恽敬《亡妻陈孺人权厝志》：“生子以道、 女玉婴, 皆不育, 乌乎, 可哀也。 ”"
"DD-0032"	"不在了"	"死亡"	"Metaphor"	"父亲两年前就不在了。(GF 2014)"
"DD-0033"	"不终"	"过早死亡"	"Metaphor"	"《汉书：晁错传赞》：“错虽不终，世哀其忠。”"
"DD-0034"	"蝉蜕"	"死亡"	"Metaphor"	"唐 · 貫休《经旷禅师院》: “再来寻师已蝉蜕，薝萄株枯醴泉竭。”"
"DD-0035"	"长别"	"人死亡"	"Metaphor"	"母亲撒手人寰，同我们长别了。(GF 2014)"
"DD-0036"	"长辞"	"死亡"	"Metaphor"	"毛主席和我们长辞了，但是，毛泽东思想却永远照亮我国前进的道路。  (HDC 2010)"
"DD-0037"	"长短"	"人遭遇意外而突然死亡"	"Metonymy"	"万一我有什么长短，婆，妈，请你们好好地看待孙少奶。(Zhu 2018, p. 30)"
"DD-0038"	"长归"	"死亡"	"Metaphor"	"北 · 周庾信《周赵国夫人纥豆陵氏墓志铭》： “况复仙台永别，无复箫声；傅母长归，唯留琴曲。”"
"DD-0039"	"长忽"	"死亡"	"Metaphor"	"清 · 张南庄《何典：第三回》： “他已叫声弗应问声弗听的困到长忽里去了。”"
"DD-0040"	"长寐"	"死亡"	"Metaphor"	"南朝 · 宋 · 鲍照《松柏篇》：“长寐无觉期，谁知逝者穷。”"
"DD-0041"	"长眠"	"人死亡（埋葬在某处）"	"Metaphor"	"长眠于九泉之下。(GF 2014)"
"DD-0042"	"长寝"	"死亡"	"Metaphor"	"孔融《临终》诗: “生存多所虑，长寝万事毕。”"
"DD-0043"	"长逝"	"死亡"	"Metaphor"	"一代伟人，溘然长逝。(GF 2014)"
"DD-0044"	"长往"	"死亡"	"Metaphor"	"清 · 薛福成 《庸盦笔记·述异·愚民含忿轻生》： “见其幼弟气尚未絶，灌救得生。其餘六人则已长往。”"
"DD-0045"	"长违"	"死亡"	"Metaphor"	"宋 · 王安石《祭苏虞部文》：“聊陈薄奠，以告长违。”"
"DD-0046"	"长谢"	"死亡"	"Metaphor"	"才人不寿，可惜！故人长谢，可哀！(Zhu 2018, p. 31)"
"DD-0047"	"长休"	"死亡"	"Metaphor"	"明 · 唐顺之 《胡贸棺记》： “予既不復有所披閲点窜，世事又已一切无所与，则置二杉棺，以待长休。”"
"DD-0048"	"长终"	"死亡"	"Metaphor"	"而后，溘然长终异国，应已无憾。(Zhu 2018, p. 31)"
"DD-0049"	"撤瑟"	"指有人生病、死亡"	"Metonymy"	"清 · 蒲松龄《聊斋志异：卷二：胡四姐》： “我今名列仙籍，本不应再履尘世，但感君情，敬报撤瑟之期，可早处分后事。”"
"DD-0050"	"彻席"	"死亡"	"Metonymy"	"李绛《兵部尚书王绍神道碑》：“在位三岁，享龄七十有二，彻席于长安永乐里之私第。”"
"DD-0051"	"彻乐"	"死亡"	"Metonymy"	"宋 · 范仲淹 《宋故乾州刺史张公神道碑》：“虽享禄不薄，屡膺蕃庶之赏，彻乐之日，门中索然。” "
"DD-0052"	"陈根"	"亡友"	"Metonymy"	"清 · 唐孙华 《钱瞿亭舍人挽诗》： “独悲君早逝，凄凉哭陈根。”"
"DD-0053"	"沉沦"	"死亡"	"Metaphor"	"鲁迅《范爱农》：“大圜犹酩酊, 微醉合沉沦。 ” (HDC 2010)"
"DD-0054"	"沉眠"	"人死亡"	"Metaphor"	"中兴沴诸将，永夜遂沉眠。(Zhu 2018, p. 32)"
"DD-0055"	"沉没"	"死亡"	"Metaphor"	"鲁迅《三闲集：在钟楼上》：“他们以自己的沉没，证明着革命的前行”。 "
"DD-0056"	"沉湘"	"人死亡；冤屈死"	"Metaphor"	"沉湘哀郢都陈迹，剩话人间绝妙词。(Zhu 2018, p. 32)"
"DD-0057"	"程老"	"在路途中死亡"	"Metonymy"	"你死了，万事皆休；你要不死，只得送你程老，没的留着你那活口，叫你往家去铺搭呀！(Zhu 2018, p. 34)"
"DD-0058"	"成仁"	"完成、实践仁德，多指为正义事业而牺牲生命"	"Metaphor"	"杀身成仁。(GF 2014) 杀身成仁，是革命党的本色。(HDC 2010)"
"DD-0059"	"齿剑"	"被杀或自刎"	"Metonymy"	"唐 · 刘知几《思慎赋》：“朝结驷而乘轩，暮齿剑而膏镬。”"
"DD-0060"	"出事"	"发生丧事，是死亡的隐语"	"Metonymy"	"《程乙本红楼梦．第五五回》：“赵姨娘的兄弟赵国基昨儿出了事，已经回过老太太、太太，说知道了，叫回姑娘来。”"
"DD-0061"	"吹灯"	"指人死"	"Metaphor"	"他那次遇险，差点儿吹灯。(GF 2014)"
"DD-0062"	"吹灯拔蜡"	"指人死"	"Metaphor"	"去年一场意外，差点就吹灯拔蜡。 (GC 2015)"
"DD-0063"	"炊臼"	"丧妻"	"Metonymy"	"炊臼之痛 (Zhu 2018, p. 40)"
"DD-0064"	"辞去"	"去世的婉辞"	"Metaphor "	"元 · 关汉卿《玉镜台》第一折： “老身姓温，夫主姓刘，早年辞去，别无儿男。”"
"DD-0065"	"辞世"	"死亡"	"Metaphor "	"父母相续辞世。(GF 2014)"
"DD-0066"	"辞堂"	"指母亲或祖母去世"	"Metaphor "	"《剪灯新话·秋香亭记》：“祖母辞堂，先君捐馆。” "
"DD-0067"	"徂"	"死亡"	"Metaphor"	"《史记：伯夷列传》：“于嗟徂兮, 命之衰矣!”"
"DD-0068"	"大病"	"死的婉辞"	"Metaphor"	"《庄子：徐无贵》： “仲父之病病矣，可不讳云。至于大病，则寡人恶乎属国而可？”"
"DD-0069"	"大分"	"大限，寿数"	"Metaphor"	"唐 · 张鷟 《朝野佥载》卷二：“…… 人之大分，如来尚所未免。”"
"DD-0070"	"大故"	"重大的事故，如战争、灾祸等；指父亲或母亲死亡"	"Metonymy"	"不幸遭逢大故。(GF 2014)"
"DD-0071"	"大归"	" 死之婉称"	"Metaphor"	"唐 · 顾况《祭李员外文》：“先生大归，赴哭无由。”"
"DD-0072"	"怛化"	"死亡"	"Metaphor"	"唐 · 骆宾王 《与博昌父老书》：“虽蒙庄一指，殆先觉于劳生；秦佚三号，讵先情于怛化？”"
"DD-0073"	"大还"	" 死之婉称"	"Metaphor"	"宋 · 楼钥《宜人杨氏挽词》：“一昨闻微恙，宁知竟大还。”"
"DD-0074"	"大讳"	"大禁忌; 谓天子之死"	"Metonymy"	"《魏书：礼志三》：“伏惟远祖重光世袭，至有大讳之日，唯侍送梓宫者凶服，左右尽皆从吉。”"
"DD-0075"	"大辟"	"指死刑"	"Metonymy"	"谁都知道从周到汉，有一种施于男子的“宫刑”，也叫“腐刑”，次于“大辟 ”一等。对于女性就叫“幽闭”，向来不大有人提起那方法，但总之，是决非将她关起来，或者将它缝起来。[https://www.aisixiang.com/data/27728.html]"
"DD-0076"	"大期"	"死期"	"Metaphor"	"宋 · 司马光 《祭齐国献穆大长公主文》：“呜呼，遐福未终，大期奄及，去白日之昭晰，归下泉之窈冥。”"
"DD-0077"	"大去"	"死亡"	"Metaphor"	"他因病入膏肓，自觉大去之期不远，所以找了律师定下遗嘱。(GC 2015)"
"DD-0078"	"大数"	"大限，寿数"	"Metaphor"	"《礼记：月令》：“凡举大事，毋逆大数，必顺其时，慎因其类。”"
"DD-0079"	"大限"	"迷信指寿数已尽, 注定死亡的日期"	"Metaphor"	"大限将至。(GF 2014)"
"DD-0080"	"大行"	"旧时皇帝或皇后初崩称为「大行」"	"Metaphor"	"《六部成语注解：礼部》：“大行：皇帝初崩，尊谥未定，暂称大行，言其德行大备无所不具也。”"
"DD-0081"	"大刑"	"指死刑"	"Metonymy"	"他犯下滔天大罪，必判大刑。[http://twdict.lookup.tw/大刑.html#.YeAI4C8w3BI]"
"DD-0082"	"大忧"	"大忧患，大灾祸;指皇帝死丧。有误用以称人父母之丧者"	"Metonymy"	"宋 · 苏轼《司马温公行状》： “国有大忧，中外窘乏。”"
"DD-0083"	"大夜"	"形容人死后，从此长眠不醒"	"Metaphor"	"南朝 · 梁 · 王僧孺《从子永宁令谦诔》：“昭涂长已，大夜斯安。”"
"DD-0084"	"登莲界"	"死亡"	"Metaphor"	"清 · 缪荃孙 《艺风堂友朋书札：钱堂振：五》： “前从柚岑令弟处送来讣告，知年嫂宜人遽登莲界，至为骇愕“"
"DD-0085"	"登天"	"死亡"	"Metaphor"	"他卧病多年，已于昨晚登天了。(GC 2015)"
"DD-0086"	"登遐"	"死亡"	"Metaphor"	"宋 · 王楙《野客丛书：卷二十八：谅暗登遐》： “晋人如山涛居母丧，诏曰，山太常居谅暗，情在难夺，盖当时未甚避忌故尔，又如登遐二字，晋人臣下亦多称之。”"
"DD-0087"	"登仙"	"死亡"	"Metaphor"	"宋 · 苏轼《赤壁赋》：“飘飘乎如遗世独立，羽化而登仙。”"
"DD-0088"	"登真"	"死亡"	"Metaphor"	"唐 · 曹唐《仙都即景》诗：“蟠桃花老华阳东，轩后登真谢六宫。”"
"DD-0089"	"登陟"	"死亡"	"Metaphor"	"章炳麟《徐锡麟陈伯平马宗汉秋瑾哀辞》：“亦有马君，就涂未极，詗吏旁布，断头登陟。”"
"DD-0090"	"地下修文"	"死亡"	"Metaphor"	"唐 · 司空图 《狂题诗十八首之九》： “地下修文着作郎，生前饥处倒空墙。”"
"DD-0091"	"奠楹"	"死亡"	"Metonymy"	"清 · 赵翼 《六哀诗：故傅文忠公》：“公竟染危疾，还朝遽奠楹。”"
"DD-0092"	"雕残"	"死亡"	"Metaphor"	"田海燕《吴玉章同志在辛亥革命前后的革命活动》诗：“辛亥革命五十年，当年志度士半雕残。”"
"DD-0093"	"吊颈"	"上吊自杀"	"Metonymy"	"那妇人昨夜吊颈！(GC 2015)"
"DD-0094"	"凋枯"	"死亡"	"Metaphor"	"唐 · 陈子昂 《岘山怀古》诗：“丘陵徒自出，贤圣几凋枯。”"
"DD-0095"	"凋零"	"死亡"	"Metaphor"	"柯灵 《小浪花》：“我的同代人几乎凋零殆尽。”"
"DD-0096"	"凋落"	"死亡"	"Metaphor"	"宋 · 范成大《李郎中挽词》之二 ： “故人雕落盡，衰涕不勝橫。”"
"DD-0097"	"雕丧"	"死亡"	"Metaphor"	"宋 · 苏轼 《与宋汉杰书》之一： “话及畴昔，良复慨然，三十馀年矣，如隔晨耳，而前人雕丧略尽，仆亦仅能生还。”"
"DD-0098"	"雕伤"	"死亡"	"Metaphor"	"清 · 顾炎武《关中杂诗》：“徂谢良朋尽，雕伤节士空。”"
"DD-0099"	"凋逝"	"死亡"	"Metaphor"	"清 · 梅曾亮 《阮小咸诗序》：“北城诸君凋逝殆尽。”"
"DD-0100"	"凋谢"	"死亡"	"Metaphor"	"几十年前的伙伴多已相继凋谢。(GF 2014)"
"DD-0101"	"蝶化"	"死亡"	"Metaphor"	"宋 · 周密 《悼杨明之》诗： “帐中蝶化真成梦，镜里鸞孤枉断肠。”"
"DD-0102"	"顶踵尽捐"	"牺牲，死亡"	"Metaphor"	"《平山冷燕》第五回：“乃復辱令爱小姐疏救……此天地父母所不能施之恩。而一旦转加之罪人，真令人顶踵尽捐，不能少报万一。”"
"DD-0103"	"短长"	"意料不到的变故; 死亡"	"Metonymy"	"《儿女英雄传：第八回》：“我上有老母，下无弟兄，父亲既死，就仗我一人奉养老母，万一机事不密，我有个短长，母亲无人养赡。”"
"DD-0104"	"短见"	" 自杀"	"Metonymy"	"鲁迅 《故事新编：奔月》： “羿忽然心惊肉跳起来，觉得嫦娥是因为气忿寻了短见了！”"
"DD-0105"	"短历"	"死亡"	"Reversal"	"唐 · 独孤及《为元相公祭严尚书文》： “昔公先中书以道消谗胜，不践衮职；公复算屈短历，卒无相印。苍生孤望，前后同悲。”"
"DD-0106"	"短命"	"寿命不长、早死"	"Reversal"	"陈毅 《悼罗炳辉将军》诗：“所悲君短命，失我老战友。”"
"DD-0107"	"断气"	"死亡"	"Metonymy"	"省建工医院值班医生告诉记者，老太太送到时就已经断气了。(BCC)"
"DD-0108"	"短世"	"死亡"	"Reversal"	"《汉书：诸侯王表》：“本朝短世，国统三絶。”"
"DD-0109"	"短岁"	"早死"	"Reversal"	"唐 · 刘知几 《史通·古今正史》： “其后李仁实续撰于志宁……等传，载言记事，见推直笔，惜其短岁，功业未终。”"
"DD-0110"	"断弦"	"失妻"	"Metaphor "	"断弦犹可续，心去最难留。[https://zhuanlan.zhihu.com/p/42538942]"
"DD-0111"	"短折"	"早死"	"Metaphor"	"南朝 · 梁 · 刘勰《文心雕龙：哀吊》： “赋宪之谥，短折曰哀。哀者，依也。”"
"DD-0112"	"遁化"	"死亡"	"Metaphor "	"唐 · 颜真卿《有唐茅山元靖先生广陵李君碑铭》： “先生以大历己酉岁冬十一月十有四日，遁化于茅山紫阳之别院。”"
"DD-0113"	"噩耗"	"人死亡的消息"	"Metonymy"	"噩耗传来，不胜悲痛。(GF 2014)"
"DD-0114"	"而已"	"死"	"Metaphor"	"唐 · 元稹《祭亡妻韦氏文》：“纵斯言之可践，奈夫人之而已。”"
"DD-0115"	"翻了白眼"	"人死亡"	"Metonymy"	"他恨不能双手掐住她的脖子，掐！掐！掐！一直到她翻了白眼！(Zhu 2018, p. 72) "
"DD-0116"	"犯雾露"	"病死"	"Metonymy"	"《汉书：淮南厉王刘长传》: “淮南王为人刚，今暴摧折之，臣恐其逢雾露病死，陛下有杀弟之名，奈何?""后以""犯雾露""指病死。”"
"DD-0117"	"返真"	"死亡"	"Metaphor"	"清 · 徐乾学 《与刘古衡书》之三：“若不速照良方自医，一旦返真，人其谓之何哉！”"
"DD-0118"	"非祸"	"死亡"	"Metonymy"	"宋 · 孙光宪《北梦琐言》卷七： “文学渊奥，迥出辈流，然恃才躁进，竟罹非祸。”"
"DD-0119"	"非命"	"遭遇祸害而死亡"	"Metonymy"	"免于非命。(GF 2014)"
"DD-0120"	"飞天"	"人死亡"	"Metaphor"	"徐志摩飞天后，他写了悼诗《吊志摩先生》……。(Zhu 2018, p. 74)"
"DD-0121"	"焚椒"	"指皇后被杀"	"Metaphor"	"明 · 程羽文 《鸳鸯牒》：“ 辽萧后骚雅缠绵，焚椒最惨。”"
"DD-0122"	"风木"	"死亡"	"Metonymy"	"明 · 汪廷讷《狮吼记：第二出》： “先父公弼，作宦黄州，因而流寓岐亭，不幸风木含悲，年来独与妻房柳氏，谐其伉俪。”"
"DD-0123"	"风烛"	"死亡"	"Metaphor"	"但是，从1990年后，他的身体逐渐衰弱，进入了风烛 残年。(BCC)"
"DD-0124"	"伏剑"	"死亡"	"Metonymy"	"清 · 钱谦益 《母刘氏仍前赠》： “古之贤母，望倚门而辞伏剑者，无不教其子以作忠也。”"
"DD-0125"	"趺逝"	"僧徒逝世"	"Metaphor"	"清 · 魏源 《圣武记》卷五： “晚年病目，能以手捫经卷而辨其字，於四十一年趺逝京师。”"
"DD-0126"	"赴义"	"死亡"	"Metaphor"	"现在，我总算可以从容赴义了！ (HDC 2010)"
"DD-0127"	"赴召玉楼"	"死亡"	"Metaphor"	"清 · 曾朴《孽海花》第二十四回: “忽听见里面一片哭声沸腾起来，却把个文园病渴的司马相如，竟做了玉楼赴召的李长吉了。”"
"DD-0128"	"盖棺"	"死亡"	"Metonymy"	"鲁迅《花边文学：运命》： “‘智者千虑，必有一失’，这里的‘失’，是在非到盖棺之后，一个人的运命‘终是’不可知。”"
"DD-0129"	"槁"	"死亡"	"Metaphor"	"明 · 高攀龙 《三时记》：“文山负其马, 立槁, 至今马冢尚在。” "
"DD-0130"	"告别人世"	"死亡"	"Metaphor"	"一个人行将告别人世，还不肯原谅别人，这是怎样的大无畏精神？(Zhu 2018, p. 85)"
"DD-0131"	"宫车晏驾"	"死亡"	"Metaphor"	"宋 · 孙光宪《北梦琐言：卷十八》: “帝母弟存渥从上战，及宫车晏驾，存渥与刘皇后同奔太原。”"
"DD-0132"	"故"	"死亡；死的"	"Metonymy"	"我住的是一个已故资本家留下的别墅。"
"DD-0133"	"古"	"死亡"	"Metaphor"	"唐 · 司空图《诗品二十四则·旷达》：“孰不有古，南山峨峨。 ”"
"DD-0134"	"顾命"	"天子的遗诏"	"Metaphor"	"《东周列国志：第四回》：“晋文公有疾，召赵衰、先軫、狐射姑、阳处父诸臣，入受顾命，使辅世子驩为君，勿替伯业。”"
"DD-0135"	"鼓盆"	"比喻妻死"	"Metonymy"	"明 · 朱权《荆钗记：第四十三出》： “他鼓盆已久，未有夫人，央我去说亲。”"
"DD-0136"	"故去"	"死亡"	"Metaphor"	"父亲故去快三年了。(GC 2015)"
"DD-0137"	"古人"	"已死的人"	"Metaphor"	"鲁迅 《热风：望勿“纠正”》：“ 汪原放 君已经成了古人了。”"
"DD-0138"	"故世"	"死亡"	"Metaphor"	"家父已经故世多年了。(GC 2015)"
"DD-0139"	"顾言"	"人临终遗言"	"Metaphor"	"宋 · 王安石 《大理寺丞杨君墓志铭》： “嘉祐七年四月辛巳，卒於南，享年三十九。顾言曰：‘焚吾所为书，无留也。以柩从先人葬。’”"
"DD-0140"	"光荣"	"死亡"	"Metaphor"	"能活着回来当然最好。万一光荣了，也可以为秀才们提供一点索材。 (Zhang 1996, p. 9)"
"DD-0141"	"归道山"	"死亡"	"Metaphor"	"这位朋友，现在已归道山，这一回无言造访，我至今不忘。(Zhu 2018, p. 93)"
"DD-0142"	"归寂"	"死亡"	"Metaphor"	"明 · 王世贞 《宛委馀编：八》：“宋开宝中，八十老僧道价为丛林所重，临当归寂，从容示偈。”"
"DD-0143"	"归去"	"人死亡"	"Metaphor"	"如今，母亲已乘春风向那永恒归去。(HDC 2010)"
"DD-0144"	"归全"	"死亡"	"Metaphor"	"《后汉书：崔駰传》：“贵启体之归全兮，庶不忝乎先子。” "
"DD-0145"	"归泉"	"死亡"	"Metaphor"	"《闲情偶寄：演习：变调》附《改本》：“因来灶边，窥奴私嚥，一声儿哭倒便归泉。”"
"DD-0146"	"归人"	"死人"	"Metaphor"	"《列子：天瑞》： “古者谓死人为归人。”"
"DD-0147"	"归山"	"死亡"	"Metaphor"	"到第四天傍晚，匡老头归山了。(BCC)"
"DD-0148"	"归神"	"死亡"	"Metaphor"	"《三国演义：第七十七回》：“关公夜走临沮，为吴将所获，义不屈节，父子归神。”"
"DD-0149"	"归世"	"死亡"	"Metaphor"	"《前汉书平话：卷上》：“大汉十年九月十一日，韩信归世。”"
"DD-0150"	"归天"	"死亡"	"Metaphor"	"如今不中用的人都顺顺当当活下来，真正有点本事、有点志气的人早就归天了。(Zhu 2018, p. 94)"
"DD-0151"	"归土"	"死亡"	"Metaphor"	"鲁迅《书信集：致曹靖华》：“而今竟已归土，哀哉！” (HDC 2010)"
"DD-0152"	"归西"	"死亡"	"Metaphor"	"我不能服侍娘娘百年归西，是我不孝顺。(Zhu 2018, p. 94)"
"DD-0153"	"归阴"	"死亡"	"Metaphor"	"昆曲《十五贯：第一场》：“你父被杀命归阴。”"
"DD-0154"	"桂折"	" 桂枝折断。喻品德高尚的人亡故"	"Metaphor"	"北周 · 庾信《周安昌公夫人郑氏墓志铭》： “巴水幽咽，猿鸣断絶。月落珠伤，春枯桂折。”"
"DD-0155"	"桂折兰摧"	"比喻品德高尚的人亡故"	"Metaphor"	"元 · 曹之谦《吊王内翰从之》诗： “山瞻斗仰名空在，桂折兰摧恨未休。”"
"DD-0156"	"归真"	"死亡"	"Metaphor"	"有人说他们得到一张藏宝图，海角天涯寻宝去了，有人说夫妻俩早已物化归真 。(BCC)"
"DD-0157"	"过"	"死亡"	"Metaphor"	"现在妈过了，家里也冷静…… (HDC 2010)"
"DD-0158"	"过背"	"死亡"	"Metaphor"	"明 · 俞弁 《逸老堂诗话》卷下： “陈声伯《渚山诗话》云：‘近世士大夫遇事退恕’，则曰：‘过背之后，不知和尚在鉢盂在？’”"
"DD-0159"	"过辈"	"死亡"	"Metaphor"	"潘漠华 《人间》：“听说你父亲已‘过辈’了。” "
"DD-0160"	"裹革"	"死亡"	"Metonymy"	"唐 · 员半千《陇头水》诗： “喋血多壮胆，裹革无怯魂。”"
"DD-0161"	"过去"	"死亡"	"Metaphor"	"…… 那夫人就过去了。(Zhu 2018, p. 95)"
"DD-0162"	"过身"	"死亡"	"Metaphor"	"《二十年目睹之怪现状：第十回》：“自从你祖老太爷过身之后，你母亲就跟着你老人家运送灵柩回家乡去。”"
"DD-0163"	"过世"	"死亡"	"Metaphor"	"…… 老先生已过世了。(Zhu 2018, p. 95)"
"DD-0164"	"裹尸"	"死亡"	"Metonymy"	"南朝 · 梁 · 何逊《见征人分别》诗：“且当横行去，谁论裹尸入。”"
"DD-0165"	"裹尸马革"	"死亡"	"Metonymy"	"明 · 邵灿《香囊记：第十二出》： “还须上万言策，拼取微躯，裹尸马革。”"
"DD-0166"	"好歹"	"不幸的意外变故、灾祸，多指死亡"	"Metonymy"	"郭澄清 《大刀记》第九章：“万一我要有个好歹，等 咱二愣 长大成人，去找你认爹的时候，这只手镯就算个凭证吧！” (HDC 2010)"
"DD-0167"	"蒿露"	"死亡"	"Metonymy"	"清 · 周亮工 《书影》卷四： “戊子余入闽时，客以其诗来，予悲其蒿露，谓客曰：‘余任其葬，子任其诗。’”"
"DD-0168"	"阖棺"	"死亡"	"Metonymy"	"《三国志：魏志：邓艾传》：“以平蜀之功，绍封其孙，使阖棺定諡，死无馀恨。”"
"DD-0169"	"合眼"	"死亡"	"Metonymy"	"等我合眼了，你们再分家吧。[http://zuci.chaziwang.com/showci-23489.html]"
"DD-0170"	"薨"	"古代诸侯或大官死亡"	"Metaphor"	"《汉书：卷八一：孔光传》：  “及霸薨，上素服临吊者再。”"
"DD-0171"	"后话"	"临终遗言"	"Metaphor"	"他可留下后话，才撒手人寰？(GC 2015)"
"DD-0172"	"忽然"	"死亡"	"Deletion"	"《后汉书：赵壹》：“窃伏西州，承高风旧矣，乃今方遇而忽然，奈何命也。”"
"DD-0173"	"化鹤"	"死亡"	"Metaphor"	"《搜神后记》：“丁令威学道, 后化鹤归辽。”"
"DD-0174"	"化期"	"死期"	"Metaphor"	"宋 · 《传法正宗记：卷一》：“其后以化期将近，乃命 摩訶迦叶 曰：‘吾以清浄法眼涅槃妙心实相无相微妙正法，今付於汝，汝当护持。’”"
"DD-0175"	"化去"	"死亡"	"Metaphor"	"《刘知远诸宫调：第二》：“妻父妻母在生时，凡百事做人且较容易。自从他化去，欺负杀俺夫妻两个。”"
"DD-0176"	"化身而去"	"死亡"	"Metaphor"	"明 · 无名氏《杨家府世代忠勇通俗演义》： “闻吾儿化身而去，长善公主今已惊死。”"
